anchor_layer,rank_old_lamb0p2,rank_new_lamb0p02,full_iia,sub_iia_old,sub_iia_new,orth_iia_old,orth_iia_new
0,0,0,0.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0
4,0,0,0.0,0.0,0.0,0.0,0.0
6,0,0,0.0,0.0,0.0,0.0,0.0
8,0,0,0.0,0.0,0.0,0.0,0.0
10,0,0,0.0,0.0,0.0,0.0,0.0
12,0,0,0.0,0.0,0.0,0.0,0.0
14,0,0,0.0,0.0,0.0,0.0,0.0
16,0,1,0.0,0.0,0.0,0.0,0.0
18,0,2,0.0,0.0,0.0,0.0,0.0
20,0,0,0.0,0.0,0.0,0.0,0.0
22,0,1,0.0,0.0,0.0,0.0,0.0
24,0,1,0.0,0.0,0.0,0.0,0.0
26,1,2,0.0,0.0,0.0,0.0,0.0
28,1,22,0.0,0.0125,0.025,0.0125,0.0125
30,3,40,0.4,0.4125,0.3875,0.0125,0.0
32,2,11,0.9875,0.9625,0.9875,0.0,0.0
34,2,14,0.9875,0.9625,0.9875,0.0,0.0
36,10,37,0.9,0.5,0.8125,0.0125,0.0125
38,11,39,0.375,0.1875,0.3625,0.0125,0.0125
40,9,51,0.2,0.1125,0.1625,0.0,0.0125
42,9,54,0.0125,0.0125,0.0125,0.0125,0.0125
44,7,55,0.0,0.0,0.0125,0.0125,0.0125
46,7,20,0.0,0.0125,0.0,0.0,0.0
47,6,19,0.0,0.0,0.0,0.0125,0.0
