subspace,experiment,anchor_layer,probe_variable,rank,dcm_full_rank_acc,dcm_subspace_acc,probe_full,probe_full_source,probe_proj,probe_orth,orth_drop_vs_full,proj_minus_orth,baseline,n,n_classes
pointer_lamb0p2,answer_lookback-pointer,0,state_idx_when_known,0.0,0.0,0.0,0.46774193548387094,phase2,0.5141700404858299,0.45161290322580644,0.016129032258064502,0.06255713726002349,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,2,state_idx_when_known,0.0,0.0,0.0,0.5,phase2,0.5141700404858299,0.4838709677419355,0.016129032258064502,0.03029907274389443,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,4,state_idx_when_known,0.0,0.0,0.0,0.967741935483871,phase2,0.5141700404858299,0.967741935483871,0.0,-0.45357189499804107,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,6,state_idx_when_known,0.0,0.0,0.0,0.9838709677419355,phase2,0.5141700404858299,0.9838709677419355,0.0,-0.46970092725610557,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,8,state_idx_when_known,0.0,0.0,0.0,0.967741935483871,phase2,0.5141700404858299,0.967741935483871,0.0,-0.45357189499804107,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,10,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,12,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,14,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,16,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,18,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,20,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
pointer_lamb0p2,answer_lookback-pointer,22,state_idx_when_known,0.0,0.0,0.0,1.0,phase2,0.5141700404858299,1.0,0.0,-0.4858299595141701,0.5141700404858299,247,2
