anchor_layer,rank_old_lamb0p2,rank_new_lamb0p02,dcm_sub_old,dcm_sub_new,probe_proj_old,probe_proj_new,probe_orth_old,probe_orth_new,probe_full_old,probe_full_new
0,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,0.45161290322580644,0.45161290322580644,0.46774193548387094,0.45161290322580644
2,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,0.4838709677419355,0.4838709677419355,0.5,0.4838709677419355
4,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
6,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9838709677419355
8,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
10,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,1.0,1.0,1.0,1.0
12,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,1.0,1.0,1.0,1.0
14,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,1.0,1.0,1.0,1.0
16,0,1,0.0,0.0,0.5141700404858299,0.8387096774193549,1.0,0.9516129032258065,1.0,1.0
18,0,2,0.0,0.0,0.5141700404858299,1.0,1.0,0.7741935483870968,1.0,1.0
20,0,0,0.0,0.0,0.5141700404858299,0.5141700404858299,1.0,1.0,1.0,1.0
22,0,1,0.0,0.0,0.5141700404858299,1.0,1.0,0.7258064516129032,1.0,1.0
24,0,1,0.0,0.0,0.5141700404858299,1.0,1.0,0.7258064516129032,1.0,1.0
26,1,2,0.0,0.0,1.0,1.0,0.7419354838709677,0.7741935483870968,1.0,1.0
28,1,22,0.0125,0.025,1.0,1.0,0.6935483870967742,0.7258064516129032,1.0,1.0
30,3,40,0.4125,0.3875,1.0,1.0,0.7903225806451613,0.8387096774193549,1.0,1.0
32,2,11,0.9625,0.9875,1.0,1.0,0.8548387096774194,0.8064516129032258,1.0,1.0
34,2,14,0.9625,0.9875,1.0,1.0,0.8064516129032258,0.7903225806451613,1.0,1.0
36,10,37,0.5,0.8125,1.0,1.0,0.8387096774193549,0.8709677419354839,1.0,1.0
38,11,39,0.1875,0.3625,1.0,1.0,0.7903225806451613,0.8709677419354839,1.0,1.0
40,9,51,0.1125,0.1625,1.0,1.0,0.8064516129032258,0.7903225806451613,1.0,1.0
42,9,54,0.0125,0.0125,1.0,1.0,0.7903225806451613,0.7741935483870968,1.0,1.0
44,7,55,0.0,0.0125,1.0,1.0,0.7580645161290323,0.7741935483870968,1.0,1.0
46,7,20,0.0125,0.0,0.8064516129032258,0.9354838709677419,0.8548387096774194,0.8387096774193549,1.0,1.0
47,6,19,0.0,0.0,0.7580645161290323,0.967741935483871,0.9193548387096774,0.8225806451612904,1.0,1.0
